movie_id,title,year,rating,duration,metascore,actors
tt0050083,12 Angry Men,1957,9,96,97,nm0000020:Henry Fonda|nm0002011:Lee J. Cobb|nm0000842:Martin Balsam|nm0275835:John Fiedler|nm0550855:E.G. Marshall|nm0001430:Jack Klugman|nm0083081:Edward Binns|nm0912001:Jack Warden|nm0842137:Joseph Sweeney|nm0003225:Ed Begley|nm0903667:George Voskovec|nm0916434:Robert Webber|nm0094036:Rudy Bond|nm0331131:Tom Gorman|nm0446450:James Kelly|nm0625180:Billy Nelson|nm0767847:John Savoca|nm0830818:Walter Stocker
tt0071562,The Godfather Part II,1974,9,202,90,nm0000199:Al Pacino|nm0000134:Robert De Niro|nm0000380:Robert Duvall|nm0000473:Diane Keaton|nm0001030:John Cazale|nm0001735:Talia Shire|nm0833448:Lee Strasberg|nm0311155:Michael V. Gazzo|nm0819525:G.D. Spradlin|nm0109175:Richard Bright|nm0608311:Gastone Moschin|nm0743159:Tom Rosqui|nm0456124:Bruno Kirby|nm0803370:Frank Sivero|nm0211495:Francesca De Sapio|nm0455088:Morgana King|nm0384494:Marianna Hill|nm0872689:Leopoldo Trieste
tt0068646,The Godfather,1972,9.2,175,100,nm0000008:Marlon Brando|nm0000199:Al Pacino|nm0001001:James Caan|nm0000473:Diane Keaton|nm0144710:Richard S. Castellano|nm0000380:Robert Duvall|nm0001330:Sterling Hayden|nm0549134:John Marley|nm0002017:Richard Conte|nm0504803:Al Lettieri|nm0001820:Abe Vigoda|nm0001735:Talia Shire|nm0751625:Gianni Russo|nm0001030:John Cazale|nm0094036:Rudy Bond|nm0553887:Al Martino|nm0455088:Morgana King|nm0598926:Lenny Montana
tt0468569,The Dark Knight,2008,9.1,152,85,nm0000288:Christian Bale|nm0005132:Heath Ledger|nm0001173:Aaron Eckhart|nm0000323:Michael Caine|nm0350454:Maggie Gyllenhaal|nm0000198:Gary Oldman|nm0000151:Morgan Freeman|nm1010931:Monique Gabriela Curnen|nm0212939:Ron Dean|nm0614165:Cillian Murphy|nm1977856:Chin Han|nm0004801:Nestor Carbonell|nm0000616:Eric Roberts|nm0182662:Ritchie Coster|nm0001309:Anthony Michael Hall|nm0843775:Keith Szarabajka|nm0568801:Colin McFarlane|nm0367176:Joshua Harto
tt0111161,The Shawshank Redemption,1994,9.3,142,82,nm0000209:Tim Robbins|nm0000151:Morgan Freeman|nm0348409:Bob Gunton|nm0006669:William Sadler|nm0000317:Clancy Brown|nm0004743:Gil Bellows|nm0001679:Mark Rolston|nm0926235:James Whitmore|nm0218810:Jeffrey DeMunn|nm0104594:Larry Brandenburg|nm0321358:Neil Giuntoli|nm0508742:Brian Libby|nm0698998:David Proval|nm0706554:Joseph Ragno|nm0161980:Jude Ciccolella|nm0005204:Paul McCrane|nm0086169:Renee Blaine|nm0542957:Scott Mann
tt0108052,Schindler's List,1994,9,195,95,nm0000553:Liam Neeson|nm0000146:Ralph Fiennes|nm0001426:Ben Kingsley|nm0328751:Caroline Goodall|nm0755974:Jonathan Sagall|nm0001110:Embeth Davidtz|nm0311343:Malgorzata Gebel|nm0506616:Shmuel Levy|nm0411980:Mark Ivanir|nm0534151:Béatrice Macola|nm0786614:Andrzej Seweryn|nm0903110:Friedrich von Thun|nm0525181:Krzysztof Luft|nm0624582:Harry Nehring|nm0919256:Norbert Weisser|nm0633058:Adi Nitzan|nm0773946:Michael Schneider|nm0264577:Miri Fabian
tt0167260,The Lord of the Rings: The Return of the King,2003,9,201,94,nm0000704:Elijah Wood|nm0001557:Viggo Mortensen|nm0005212:Ian McKellen|nm0089217:Orlando Bloom|nm0032370:Noel Appleby|nm0040012:Ali Astin|nm0000276:Sean Astin|nm0040058:David Aston|nm0045324:John Bach|nm0000293:Sean Bean|nm0000949:Cate Blanchett|nm0101710:Billy Boyd|nm1480092:Sadwyn Brophy|nm0115143:Alistair Browning|nm0190744:Marton Csokas|nm1480102:Richard Edge|nm1480106:Jason Fitch|nm0384060:Bernard Hill
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,92,nm0000704:Elijah Wood|nm0005212:Ian McKellen|nm0089217:Orlando Bloom|nm0000293:Sean Bean|nm0397102:Alan Howard|nm0032370:Noel Appleby|nm0000276:Sean Astin|nm1019674:Sala Baker|nm0101710:Billy Boyd|nm0785227:Andy Serkis|nm0190744:Marton Csokas|nm0001557:Viggo Mortensen|nm1104283:Megan Edwards|nm1096480:Michael Elsworth|nm0000949:Cate Blanchett|nm0272527:Mark Ferguson|nm0000453:Ian Holm|nm0000489:Christopher Lee
tt0110912,Pulp Fiction,1994,8.8,154,95,nm0000237:John Travolta|nm0000235:Uma Thurman|nm0000168:Samuel L. Jackson|nm0000246:Bruce Willis|nm0000619:Tim Roth|nm0001625:Amanda Plummer|nm0522503:Laura Lovelace|nm0482851:Phil LaMarr|nm0001844:Frank Whaley|nm0824882:Burr Steers|nm0000609:Ving Rhames|nm0129538:Paul Calderon|nm0302345:Bronagh Gallagher|nm0000275:Rosanna Arquette|nm0000655:Eric Stoltz|nm0387533:Jerome Patrick Hoban|nm0318402:Michael Gilden|nm0794967:Gary Shorelle
tt0060196,"Il buono, il brutto, il cattivo",1967,8.8,178,90,nm0000142:Clint Eastwood|nm0908919:Eli Wallach|nm0001812:Lee Van Cleef|nm0321294:Aldo Giuffrè|nm0685559:Luigi Pistilli|nm0711502:Rada Rassimov|nm0677654:Enzo Petito|nm0769116:Claudio Scarchilli|nm0058384:John Bartha|nm0520859:Livio Lorenzon|nm0142804:Antonio Casale|nm0769118:Sandro Scarchilli|nm0824934:Benito Stefanelli|nm0637064:Angelo Novi|nm0143030:Antonio Casas|nm0759757:Aldo Sambrell|nm0612468:Al Mulock|nm0579155:Sergio Mendizábal
tt0109830,Forrest Gump,1994,8.8,142,82,nm0000158:Tom Hanks|nm0000705:Robin Wright|nm0000641:Gary Sinise|nm0000398:Sally Field|nm0931508:Rebecca Williams|nm0402011:Michael Conner Humphreys|nm0381041:Harold G. Herthum|nm0446404:George Kelly|nm0672225:Bob Penny|nm0709615:John Randall|nm0027402:Sam Anderson|nm0602071:Margo Moorer|nm0854295:Ione M. Telech|nm0780410:Christine Seabrook|nm0941621:John Worsham|nm0229930:Peter Dobson|nm0266441:Siobhan Fallon Hogan|nm0954754:Alexander Zemeckis
